all_other_loans,candidate_contribution,cash_on_hand_beginning_period,committee_designation,committee_designation_full,committee_id,committee_name,committee_state,committee_type,committee_type_full,contribution_refunds,contributions,coverage_end_date,coverage_start_date,cycle,disbursements,filing_frequency,filing_frequency_full,first_f1_date,first_file_date,individual_contributions,individual_itemized_contributions,individual_unitemized_contributions,last_beginning_image_number,last_cash_on_hand_end_period,last_debts_owed_by_committee,last_debts_owed_to_committee,last_report_type_full,last_report_year,loan_repayments,loan_repayments_candidate_loans,loan_repayments_other_loans,loans,loans_made_by_candidate,net_contributions,net_operating_expenditures,offsets_to_operating_expenditures,operating_expenditures,organization_type,organization_type_full,other_disbursements,other_political_committee_contributions,other_receipts,party_full,political_party_committee_contributions,receipts,refunded_individual_contributions,refunded_other_political_committee_contributions,refunded_political_party_committee_contributions,transaction_coverage_date,transfers_from_other_authorized_committee,transfers_to_other_authorized_committee,treasurer_name
0.0,0.0,0.0,P,Principal campaign committee,C00482216,TOWNSEND FOR SENATE,FL,S,Senate,0.0,0.0,2026-03-31T00:00:00,2025-01-01T00:00:00,2026,0.0,A,Administratively terminated,2010-04-23,2010-04-23,0.0,0.0,0.0,202604059856982625,0.0,108845.1,0.0,APRIL QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2026-03-31,0.0,0.0,NANCY H WATKINS
0.0,0.0,9382.64,P,Principal campaign committee,C00697334,MCCORKLE FOR COLORADO,CO,H,House,0.0,0.0,2026-07-17T00:00:00,2025-01-01T00:00:00,2026,9572.0,T,Terminated,2019-02-21,2019-02-21,0.0,0.0,0.0,202607179890879961,-189.36,0.0,0.0,TERMINATION REPORT,2026,0.0,0.0,0.0,0.0,0.0,0.0,9572.0,0.0,9572.0,,,0.0,0.0,0.0,DEMOCRATIC PARTY,0.0,0.0,0.0,0.0,0.0,2026-07-17,0.0,0.0,"IZZOLENA, BRIAN KEITH"
0.0,0.0,45477.4,P,Principal campaign committee,C00776120,KIGGANS FOR CONGRESS,VA,H,House,37631.56,4243064.89,2026-07-15T00:00:00,2025-01-01T00:00:00,2026,2608075.05,Q,Quarterly filer,2021-04-08,2021-04-08,2987464.21,2203352.34,784111.87,202607239894421752,3391740.42,38100.66,0.0,PRE-PRIMARY,2026,0.0,0.0,0.0,0.0,0.0,4205433.33,2556886.37,12607.12,2569493.49,,,950.0,1250100.68,0.0,REPUBLICAN PARTY,5500.0,5954338.07,34131.56,3500.0,0.0,2026-07-15,1698666.06,0.0,"MELTON, KAYLEN"
0.0,0.0,4696.07,P,Principal campaign committee,C00499236,GEORGE HOLDING FOR CONGRESS INC.,NC,H,House,-26502.18,0.0,2025-11-03T00:00:00,2025-01-01T00:00:00,2026,4696.07,T,Terminated,2011-07-18,2011-07-18,0.0,0.0,0.0,202511039792570015,0.0,0.0,0.0,TERMINATION REPORT,2025,0.0,0.0,0.0,0.0,0.0,26502.18,-4269.93,0.0,-4269.93,,,35468.18,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,-11502.18,-15000.0,0.0,2025-11-03,0.0,0.0,"MCMICHAEL, COLLIN"
0.0,0.0,0.0,P,Principal campaign committee,C00956573,"GERALD MALLOY FOR US CONGRESS, LIMITED",VT,H,House,0.0,0.0,2026-07-23T00:00:00,2026-07-01T00:00:00,2026,0.0,T,Terminated,2026-07-16,2026-07-16,0.0,0.0,0.0,202607239894422373,0.0,0.0,0.0,TERMINATION REPORT,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2026-07-23,0.0,0.0,"DATWYLER, THOMAS MR."
0.0,0.0,-1135.48,P,Principal campaign committee,C00777037,PEOPLE TO ELECT CHRIS BUTLER,IL,H,House,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,0.0,A,Administratively terminated,2021-04-16,2021-04-16,0.0,0.0,0.0,202607319899259727,0.0,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,DEMOCRATIC PARTY,0.0,0.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"CHERRY, AKEEM"
0.0,0.0,10139.52,P,Principal campaign committee,C00844993,COOKE FOR CONGRESS,WI,H,House,50085.78,7775385.22,2026-07-22T00:00:00,2025-01-01T00:00:00,2026,6784680.42,Q,Quarterly filer,2023-07-10,2023-07-10,7251910.21,4606176.92,2645733.29,202607309899249797,1826605.06,0.0,0.0,PRE-PRIMARY,2026,0.0,0.0,0.0,0.0,0.0,7725299.44,6728594.91,792.58,6729387.49,,,5207.15,523475.01,158.77,DEMOCRATIC PARTY,0.0,8601145.96,43085.78,7000.0,0.0,2026-07-22,824809.39,0.0,"PETTERSON, JAY"
0.0,0.0,-15549.43,P,Principal campaign committee,C00871426,GINGER CRUZ FOR CONGRESS,GU,H,House,0.0,0.0,2026-03-31T00:00:00,2025-01-01T00:00:00,2026,1742.0,T,Terminated,2024-02-29,2024-02-29,0.0,0.0,0.0,202604179863183844,-109258.22,360000.0,0.0,APRIL QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,88.9,1653.1,1742.0,,,0.0,0.0,0.63,DEMOCRATIC PARTY,0.0,1653.73,0.0,0.0,0.0,2026-03-31,0.0,0.0,"LEON GUERRERO, PETER"
0.0,0.0,753.96,P,Principal campaign committee,C00940601,LORENZO FOR CONGRESS,WI,H,House,0.0,17333.0,2026-07-22T00:00:00,2026-04-01T00:00:00,2026,9639.24,Q,Quarterly filer,2026-02-24,2026-02-24,17333.0,11650.0,5683.0,202607309899247469,8447.72,0.0,0.0,PRE-PRIMARY,2026,0.0,0.0,0.0,0.0,0.0,17333.0,9639.24,0.0,9639.24,,,0.0,0.0,0.0,DEMOCRATIC PARTY,0.0,17333.0,0.0,0.0,0.0,2026-07-22,0.0,0.0,"PATTON, JAMES"
0.0,0.0,4.99,P,Principal campaign committee,C00505255,WRIGHT MCLEOD FOR CONGRESS,GA,H,House,0.0,0.0,2025-12-31T00:00:00,2025-01-01T00:00:00,2026,39.99,T,Terminated,2011-11-04,2011-11-04,0.0,0.0,0.0,202601279794231151,0.0,0.0,0.0,TERMINATION REPORT,2025,4.99,4.99,0.0,35.0,35.0,0.0,35.0,0.0,35.0,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,35.0,0.0,0.0,0.0,2025-12-31,0.0,0.0,CAMERON NIXON
